IDBox;SumViability;NbSeed;PropViability;SumSwell;PropSwell;SumRad;PropRad;SumCot;PropCot;IDPod;Plant;Zone;Zone0;UniqueQuadrat;PosQuadrat;Plan;UniqueGeno;Block;Plate
1;2;5;0.4;5;1;5;1;4;0.8;1;L1109_Na314_H5 _3_4_A3;3;3;Z3Q4;A3;Intrapop;Narbonne_H5;1;1
2;0;3;0;3;1;3;1;3;1;2;L1105_Na21_H2 _3_4_D2;3;3;Z3Q4;D2;Intrapop;Narbonne_H2;1;1
3;4;5;0.8;5;1;5;1;5;1;3;L1110b_Na326_H5 _3_4_D3;3;3;Z3Q4;D3;Intrapop;Narbonne_H5;1;1
4;1;4;0.25;4;1;4;1;4;1;4;L1110b_Na326_H5 _3_4_D3;3;3;Z3Q4;D3;Intrapop;Narbonne_H5;1;1
5;1;5;0.2;5;1;5;1;3;0.6;5;L1110b_Na326_H5 _3_4_D3;3;3;Z3Q4;D3;Intrapop;Narbonne_H5;1;1
6;2;4;0.5;4;1;4;1;2;0.5;6;L1110b_Na326_H5 _3_4_D3;3;3;Z3Q4;D3;Intrapop;Narbonne_H5;1;1
7;6;6;1;6;1;6;1;5;0.833333333333333;9;L1125_Na657_H8 _3_4_E1;3;3;Z3Q4;E1;Intrapop;Narbonne_H8;1;1
8;4;5;0.8;5;1;5;1;5;1;10;L1107_Na234_H2 _3_4_E3;3;3;Z3Q4;E3;Intrapop;Narbonne_H2;1;1
9;4;6;0.666666666666667;6;1;6;1;6;1;11;L1107_Na234_H2 _3_4_E3;3;3;Z3Q4;E3;Intrapop;Narbonne_H2;1;1
10;3;3;1;3;1;3;1;3;1;14;L1096b_Na156_H4 _3_4_F6;3;3;Z3Q4;F6;Intrapop;Narbonne_H4;1;1
11;6;6;1;6;1;6;1;5;0.833333333333333;15;269_B_H96 _3_12_A4;3;3;Z3Q12;A4;Intrapop;Narbonne_H96;1;1
12;5;6;0.833333333333333;6;1;6;1;6;1;16;269_B_H96 _3_12_A4;3;3;Z3Q12;A4;Intrapop;Narbonne_H96;1;1
13;5;5;1;5;1;5;1;4;0.8;17;269_B_H96 _3_12_A4;3;3;Z3Q12;A4;Intrapop;Narbonne_H96;1;1
14;2;4;0.5;4;1;4;1;3;0.75;18;L1109_Na314_H5 _3_12_B3;3;3;Z3Q12;B3;Intrapop;Narbonne_H5;1;1
15;3;5;0.6;5;1;5;1;5;1;19;L1109_Na314_H5 _3_12_B3;3;3;Z3Q12;B3;Intrapop;Narbonne_H5;1;1
16;3;4;0.75;4;1;4;1;3;0.75;20;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1
17;2;3;0.666666666666667;3;1;3;1;2;0.666666666666667;20;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1
18;3;4;0.75;4;1;4;1;4;1;21;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1
19;3;3;1;3;1;3;1;3;1;21;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1
20;3;6;0.5;6;1;5;0.833333333333333;6;1;22;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1
21;3;5;0.6;5;1;3;0.6;5;1;23;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1
22;2;4;0.5;4;1;4;1;2;0.5;24;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1
23;4;4;1;4;1;4;1;4;1;25;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1
24;2;5;0.4;5;1;5;1;5;1;26;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1
25;3;3;1;3;1;3;1;3;1;27;L1096b_Na156_H4 _3_12_C2;3;3;Z3Q12;C2;Intrapop;Narbonne_H4;1;1
26;0;3;0;3;1;3;1;3;1;30;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1
27;2;4;0.5;4;1;3;0.75;3;0.75;31;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1
28;2;3;0.666666666666667;3;1;3;1;3;1;31;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1
29;4;5;0.8;5;1;5;1;5;1;32;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1
30;5;6;0.833333333333333;6;1;6;1;5;0.833333333333333;33;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1
31;6;6;1;6;1;6;1;5;0.833333333333333;34;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1
32;4;6;0.666666666666667;6;1;6;1;5;0.833333333333333;35;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1
33;3;6;0.5;6;1;4;0.666666666666667;6;1;36;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1
34;3;5;0.6;5;1;4;0.8;5;1;37;L1105_Na21_H2 _3_12_C3;3;3;Z3Q12;C3;Intrapop;Narbonne_H2;1;1
