IDBox;Viability;n;IDPod;Plant;UniqueGeno
1;2;5;1;L1109_Na314_H5 _3_4_A3;Narbonne_H5
2;0;3;2;L1105_Na21_H2 _3_4_D2;Narbonne_H2
3;4;5;3;L1110b_Na326_H5 _3_4_D3;Narbonne_H5
4;1;4;4;L1110b_Na326_H5 _3_4_D3;Narbonne_H5
5;1;5;5;L1110b_Na326_H5 _3_4_D3;Narbonne_H5
6;2;4;6;L1110b_Na326_H5 _3_4_D3;Narbonne_H5
7;6;6;9;L1125_Na657_H8 _3_4_E1;Narbonne_H8
8;4;5;10;L1107_Na234_H2 _3_4_E3;Narbonne_H2
9;4;6;11;L1107_Na234_H2 _3_4_E3;Narbonne_H2
10;3;3;14;L1096b_Na156_H4 _3_4_F6;Narbonne_H4
11;6;6;15;269_B_H96 _3_12_A4;Narbonne_H96
12;5;6;16;269_B_H96 _3_12_A4;Narbonne_H96
13;5;5;17;269_B_H96 _3_12_A4;Narbonne_H96
14;2;4;18;L1109_Na314_H5 _3_12_B3;Narbonne_H5
15;3;5;19;L1109_Na314_H5 _3_12_B3;Narbonne_H5
16;3;4;20;L1096b_Na156_H4 _3_12_C2;Narbonne_H4
17;2;3;20;L1096b_Na156_H4 _3_12_C2;Narbonne_H4
18;3;4;21;L1096b_Na156_H4 _3_12_C2;Narbonne_H4
19;3;3;21;L1096b_Na156_H4 _3_12_C2;Narbonne_H4
20;3;6;22;L1096b_Na156_H4 _3_12_C2;Narbonne_H4
21;3;5;23;L1096b_Na156_H4 _3_12_C2;Narbonne_H4
22;2;4;24;L1096b_Na156_H4 _3_12_C2;Narbonne_H4
23;4;4;25;L1096b_Na156_H4 _3_12_C2;Narbonne_H4
24;2;5;26;L1096b_Na156_H4 _3_12_C2;Narbonne_H4
25;3;3;27;L1096b_Na156_H4 _3_12_C2;Narbonne_H4
26;0;3;30;L1105_Na21_H2 _3_12_C3;Narbonne_H2
27;2;4;31;L1105_Na21_H2 _3_12_C3;Narbonne_H2
28;2;3;31;L1105_Na21_H2 _3_12_C3;Narbonne_H2
29;4;5;32;L1105_Na21_H2 _3_12_C3;Narbonne_H2
30;5;6;33;L1105_Na21_H2 _3_12_C3;Narbonne_H2
31;6;6;34;L1105_Na21_H2 _3_12_C3;Narbonne_H2
32;4;6;35;L1105_Na21_H2 _3_12_C3;Narbonne_H2
33;3;6;36;L1105_Na21_H2 _3_12_C3;Narbonne_H2
34;3;5;37;L1105_Na21_H2 _3_12_C3;Narbonne_H2
35;4;6;38;426_A_H11.5 _3_12_C5;Narbonne_H11.5
36;3;3;39;426_A_H11.5 _3_12_C5;Narbonne_H11.5
37;3;4;40;426_A_H11.5 _3_12_C5;Narbonne_H11.5
38;1;3;40;426_A_H11.5 _3_12_C5;Narbonne_H11.5
39;6;6;41;426_A_H11.5 _3_12_C5;Narbonne_H11.5
40;3;5;42;426_A_H11.5 _3_12_C5;Narbonne_H11.5
41;4;5;43;426_A_H11.5 _3_12_C5;Narbonne_H11.5
42;4;5;44;426_A_H11.5 _3_12_C5;Narbonne_H11.5
43;3;4;45;426_A_H11.5 _3_12_C5;Narbonne_H11.5
44;3;6;46;426_A_H11.5 _3_12_C5;Narbonne_H11.5
45;3;4;47;426_A_H11.5 _3_12_C5;Narbonne_H11.5
46;3;3;47;426_A_H11.5 _3_12_C5;Narbonne_H11.5
47;3;3;48;426_A_H11.5 _3_12_C5;Narbonne_H11.5
48;5;6;49;426_A_H11.5 _3_12_C5;Narbonne_H11.5
49;4;6;50;426_A_H11.5 _3_12_C5;Narbonne_H11.5
50;3;3;51;L1110b_Na326_H5 _3_12_E6;Narbonne_H5
51;0;5;52;L1096b_Na156_H4 _3_12_F2;Narbonne_H4
52;1;5;53;L1096b_Na156_H4 _3_12_F2;Narbonne_H4
53;0;2;54;L1096b_Na156_H4 _3_12_F2;Narbonne_H4
54;2;5;55;L1096b_Na156_H4 _3_12_F2;Narbonne_H4
55;0;4;56;L1096b_Na156_H4 _3_12_F2;Narbonne_H4
56;0;2;57;L1096b_Na156_H4 _3_12_F2;Narbonne_H4
57;2;4;59;L1125_Na657_H8 _3_12_F3;Narbonne_H8
58;0;3;59;L1125_Na657_H8 _3_12_F3;Narbonne_H8
59;5;6;60;L1125_Na657_H8 _3_12_F3;Narbonne_H8
60;1;4;61;L1125_Na657_H8 _3_12_F3;Narbonne_H8
61;2;3;61;L1125_Na657_H8 _3_12_F3;Narbonne_H8
62;4;4;62;L1125_Na657_H8 _3_12_F3;Narbonne_H8
63;2;4;62;L1125_Na657_H8 _3_12_F3;Narbonne_H8
64;4;5;63;L1125_Na657_H8 _3_12_F3;Narbonne_H8
65;4;4;64;L1125_Na657_H8 _3_12_F3;Narbonne_H8
66;2;3;64;L1125_Na657_H8 _3_12_F3;Narbonne_H8
67;2;4;65;L1125_Na657_H8 _3_12_F3;Narbonne_H8
68;2;3;66;L1125_Na657_H8 _3_12_F3;Narbonne_H8
69;2;2;68;L1125_Na657_H8 _3_12_F3;Narbonne_H8
70;6;6;69;L1123_Na632_H8 _8_4_A5;Narbonne_H8
71;5;5;70;L1090_Na136_H1 _8_4_B1;Narbonne_H1
72;3;5;71;L1090_Na136_H1 _8_4_B1;Narbonne_H1
73;4;4;72;L1109_Na314_H5 _8_4_B2;Narbonne_H5
74;2;3;72;L1109_Na314_H5 _8_4_B2;Narbonne_H5
75;6;6;73;L1109_Na314_H5 _8_4_B2;Narbonne_H5
76;3;4;74;L1109_Na314_H5 _8_4_B5;Narbonne_H5
77;4;5;75;L1109_Na314_H5 _8_4_B5;Narbonne_H5
78;4;6;76;L1109_Na314_H5 _8_4_B5;Narbonne_H5
79;4;4;77;L1109_Na314_H5 _8_4_B5;Narbonne_H5
80;4;5;78;L1110b_Na326_H5 _8_4_C3;Narbonne_H5
81;3;3;79;L1110b_Na326_H5 _8_4_C3;Narbonne_H5
82;3;5;80;L1107_Na234_H2 _8_4_C4;Narbonne_H2
83;3;5;81;L1107_Na234_H2 _8_4_C4;Narbonne_H2
84;3;4;82;L1110b_Na326_H5 _8_4_D5;Narbonne_H5
85;3;3;82;L1110b_Na326_H5 _8_4_D5;Narbonne_H5
86;5;5;83;L1110b_Na326_H5 _8_4_D5;Narbonne_H5
87;2;4;84;L1125_Na657_H8 _8_4_E1;Narbonne_H8
88;3;4;85;L1113_Na424 _8_4_E4;Narbonne_H6
89;6;6;86;L1113_Na424 _8_4_E4;Narbonne_H6
90;3;3;87;L1109_Na314_H5 _8_7_A3;Narbonne_H5
91;3;3;90;L1086_Na121_H4 _8_7_B3;Narbonne_H4
92;4;5;91;426_A_H11.5 _8_7_B4;Narbonne_H11.5
93;1;1;92;L1113_Na424 _8_7_C1;Narbonne_H6
94;5;5;93;L1107_Na234_H2 _8_7_C6;Narbonne_H2
95;1;2;94;L1107_Na234_H2 _8_7_C6;Narbonne_H2
96;2;3;95;L1123_Na632_H8 _8_7_D2;Narbonne_H8
97;1;2;96;269_B_H96 _8_7_D3;Narbonne_H96
98;6;6;97;L1105_Na21_H2 _8_7_E1;Narbonne_H2
99;3;3;98;L1130_Na1028_H1 _8_7_E4;Narbonne_H1
100;4;5;99;L1119_Na545_H50 _8_7_F3;Narbonne_H50
101;1;6;100;L1090_Na136_H1 _8_7_F6;Narbonne_H1
102;0;3;101;L1119_Na545_H50 _12_7_A2;Narbonne_H50
103;2;3;102;L1105_Na21_H2 _12_7_C3;Narbonne_H2
104;4;4;103;L1105_Na21_H2 _12_7_D2;Narbonne_H2
105;2;3;103;L1105_Na21_H2 _12_7_D2;Narbonne_H2
106;1;1;104;L1110b_Na326_H5 _12_7_D6;Narbonne_H5
