IDBox;Plant;Zone;Plan;Quadrat;UniqueQuadrat;PositionQuad;UniqueGeno;IDPod;Block;Plate;PositionPlate;NbSeed;IDSeed;Base;SwellingDate;Swell;RadicleDate;Rad;CotyledonDate;Cot;Viability;SampleDate;Conta;time_flo;L_max_flo;TotalNbPods;NumSeedPlant
1;L1109_Na314_H5 _3_4_A3;3;Intrapop;4;Z3Q4;A3;Narbonne_H5;1;1;1;1;5;1;17-mai;18-mai;0;18-mai;1;22-mai;1;0;26-mai;;15;3;2;5
1;L1109_Na314_H5 _3_4_A3;3;Intrapop;4;Z3Q4;A3;Narbonne_H5;1;1;1;1;5;2;17-mai;17-mai;1;22-mai;1;26-mai;1;0;26-mai;;15;3;2;5
1;L1109_Na314_H5 _3_4_A3;3;Intrapop;4;Z3Q4;A3;Narbonne_H5;1;1;1;1;5;3;17-mai;18-mai;0;22-mai;1;;0;0;;;15;3;2;5
1;L1109_Na314_H5 _3_4_A3;3;Intrapop;4;Z3Q4;A3;Narbonne_H5;1;1;1;1;5;4;17-mai;18-mai;0;20-mai;1;22-mai;1;1;26-mai;;15;3;2;5
1;L1109_Na314_H5 _3_4_A3;3;Intrapop;4;Z3Q4;A3;Narbonne_H5;1;1;1;1;5;5;17-mai;17-mai;1;20-mai;1;24-mai;1;1;26-mai;;15;3;2;5
2;L1105_Na21_H2 _3_4_D2;3;Intrapop;4;Z3Q4;D2;Narbonne_H2;2;1;1;2;3;1;17-mai;18-mai;0;20-mai;1;26-mai;1;0;30-mai;;9;3;1;3
2;L1105_Na21_H2 _3_4_D2;3;Intrapop;4;Z3Q4;D2;Narbonne_H2;2;1;1;2;3;2;17-mai;18-mai;0;22-mai;1;26-mai;1;0;30-mai;;9;3;1;3
2;L1105_Na21_H2 _3_4_D2;3;Intrapop;4;Z3Q4;D2;Narbonne_H2;2;1;1;2;3;3;17-mai;18-mai;0;20-mai;1;26-mai;1;0;30-mai;;9;3;1;3
3;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;3;1;1;1;5;1;17-mai;18-mai;0;20-mai;1;26-mai;1;0;26-mai;;12;3;5;18
3;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;3;1;1;1;5;2;17-mai;17-mai;1;20-mai;1;23-mai;1;1;26-mai;;12;3;5;18
3;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;3;1;1;1;5;3;17-mai;18-mai;0;20-mai;1;26-mai;1;1;26-mai;;12;3;5;18
3;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;3;1;1;1;5;4;17-mai;18-mai;0;20-mai;1;26-mai;1;1;26-mai;;12;3;5;18
3;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;3;1;1;1;5;5;17-mai;17-mai;1;20-mai;1;22-mai;1;1;26-mai;;12;3;5;18
4;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;4;1;1;2;4;1;17-mai;18-mai;0;20-mai;1;22-mai;1;0;30-mai;;12;3;5;18
4;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;4;1;1;2;4;2;17-mai;18-mai;0;20-mai;1;22-mai;1;0;30-mai;;12;3;5;18
4;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;4;1;1;2;4;3;17-mai;19-mai;0;22-mai;1;22-mai;1;1;30-mai;;12;3;5;18
4;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;4;1;1;2;4;4;17-mai;18-mai;0;20-mai;1;27-mai;1;0;;;12;3;5;18
5;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;5;1;1;1;5;1;17-mai;18-mai;0;20-mai;1;26-mai;1;1;27-mai;;12;3;5;18
5;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;5;1;1;1;5;2;17-mai;18-mai;0;20-mai;1;;0;0;;;12;3;5;18
5;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;5;1;1;1;5;3;17-mai;17-mai;1;20-mai;1;26-mai;1;0;27-mai;;12;3;5;18
5;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;5;1;1;1;5;4;17-mai;18-mai;0;22-mai;1;;0;0;;;12;3;5;18
5;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;5;1;1;1;5;5;17-mai;18-mai;0;20-mai;1;26-mai;1;0;27-mai;;12;3;5;18
6;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;6;1;1;2;4;1;17-mai;17-mai;1;20-mai;1;24-mai;1;1;30-mai;;12;3;5;18
6;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;6;1;1;2;4;2;17-mai;18-mai;0;20-mai;1;;0;0;;;12;3;5;18
6;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;6;1;1;2;4;3;17-mai;18-mai;0;22-mai;1;;0;0;;;12;3;5;18
6;L1110b_Na326_H5 _3_4_D3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;6;1;1;2;4;4;17-mai;18-mai;0;20-mai;1;26-mai;1;1;30-mai;;12;3;5;18
7;L1125_Na657_H8 _3_4_E1;3;Intrapop;4;Z3Q4;E1;Narbonne_H8;9;1;1;1;6;1;17-mai;17-mai;1;20-mai;1;22-mai;1;1;25-mai;;12;4;2;6
7;L1125_Na657_H8 _3_4_E1;3;Intrapop;4;Z3Q4;E1;Narbonne_H8;9;1;1;1;6;2;17-mai;18-mai;0;20-mai;1;22-mai;1;1;25-mai;;12;4;2;6
7;L1125_Na657_H8 _3_4_E1;3;Intrapop;4;Z3Q4;E1;Narbonne_H8;9;1;1;1;6;3;17-mai;18-mai;0;20-mai;1;;0;1;25-mai;;12;4;2;6
7;L1125_Na657_H8 _3_4_E1;3;Intrapop;4;Z3Q4;E1;Narbonne_H8;9;1;1;1;6;4;17-mai;17-mai;1;22-mai;1;25-mai;1;1;25-mai;24-mai;12;4;2;6
7;L1125_Na657_H8 _3_4_E1;3;Intrapop;4;Z3Q4;E1;Narbonne_H8;9;1;1;1;6;5;17-mai;17-mai;1;19-mai;1;22-mai;1;1;25-mai;;12;4;2;6
7;L1125_Na657_H8 _3_4_E1;3;Intrapop;4;Z3Q4;E1;Narbonne_H8;9;1;1;1;6;6;17-mai;17-mai;1;20-mai;1;22-mai;1;1;25-mai;;12;4;2;6
8;L1107_Na234_H2 _3_4_E3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;10;1;1;2;5;1;17-mai;18-mai;0;20-mai;1;22-mai;1;1;26-mai;;5.5;3;2;11
8;L1107_Na234_H2 _3_4_E3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;10;1;1;2;5;2;17-mai;18-mai;0;22-mai;1;25-mai;1;0;26-mai;;5.5;3;2;11
8;L1107_Na234_H2 _3_4_E3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;10;1;1;2;5;3;17-mai;18-mai;0;20-mai;1;26-mai;1;1;26-mai;;5.5;3;2;11
8;L1107_Na234_H2 _3_4_E3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;10;1;1;2;5;4;17-mai;18-mai;0;22-mai;1;23-mai;1;1;26-mai;;5.5;3;2;11
8;L1107_Na234_H2 _3_4_E3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;10;1;1;2;5;5;17-mai;18-mai;0;20-mai;1;22-mai;1;1;26-mai;;5.5;3;2;11
9;L1107_Na234_H2 _3_4_E3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;11;1;1;1;6;1;17-mai;17-mai;1;20-mai;1;24-mai;1;0;26-mai;;5.5;3;2;11
9;L1107_Na234_H2 _3_4_E3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;11;1;1;1;6;2;17-mai;17-mai;1;20-mai;1;22-mai;1;1;26-mai;;5.5;3;2;11
9;L1107_Na234_H2 _3_4_E3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;11;1;1;1;6;3;17-mai;18-mai;0;20-mai;1;26-mai;1;0;26-mai;;5.5;3;2;11
9;L1107_Na234_H2 _3_4_E3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;11;1;1;1;6;4;17-mai;17-mai;1;20-mai;1;26-mai;1;1;26-mai;;5.5;3;2;11
9;L1107_Na234_H2 _3_4_E3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;11;1;1;1;6;5;17-mai;18-mai;0;20-mai;1;24-mai;1;1;26-mai;;5.5;3;2;11
9;L1107_Na234_H2 _3_4_E3;3;Intrapop;4;Z3Q4;E3;Narbonne_H2;11;1;1;1;6;6;17-mai;18-mai;0;20-mai;1;22-mai;1;1;26-mai;;5.5;3;2;11
