IDBox;Plant;Zone;Zone0;Plan;Quadrat;UniqueQuadrat;PositionQuad;UniqueGeno;IDPod;Block;Plate;PositionPlate;NbSeed;IDSeed;SwellingDate;Swell;RadicleDate;Rad;CotyledonDate;Cot;Viability;SampleDate;Conta;time_flo;L_max_flo;TotalNbPods;NumSeedPlant;Vgonflement;Vradicule;Vcotyledon
1;L1109_Na314_H5 _3_4_A3;3;3;Intrapop;4;Z3Q4;A3;Narbonne_H5;1;1;1;1;5;1;18/05/2016;1;18/05/2016;1;22/05/2016;1;0;26/05/2016;;15;3;2;5;1;0;4
1;L1109_Na314_H5 _3_4_A3;3;3;Intrapop;4;Z3Q4;A3;Narbonne_H5;1;1;1;1;5;2;17/05/2016;1;22/05/2016;1;26/05/2016;1;0;26/05/2016;;15;3;2;5;0;5;9
1;L1109_Na314_H5 _3_4_A3;3;3;Intrapop;4;Z3Q4;A3;Narbonne_H5;1;1;1;1;5;3;18/05/2016;1;22/05/2016;1;NA;0;0;NA;;15;3;2;5;1;4;NA
1;L1109_Na314_H5 _3_4_A3;3;3;Intrapop;4;Z3Q4;A3;Narbonne_H5;1;1;1;1;5;4;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;26/05/2016;;15;3;2;5;1;2;4
1;L1109_Na314_H5 _3_4_A3;3;3;Intrapop;4;Z3Q4;A3;Narbonne_H5;1;1;1;1;5;5;17/05/2016;1;20/05/2016;1;24/05/2016;1;1;26/05/2016;;15;3;2;5;0;3;7
2;L1105_Na21_H2 _3_4_D2;3;3;Intrapop;4;Z3Q4;D2;Narbonne_H2;2;1;1;2;3;1;18/05/2016;1;20/05/2016;1;26/05/2016;1;0;30/05/2016;;9;3;1;3;1;2;8
2;L1105_Na21_H2 _3_4_D2;3;3;Intrapop;4;Z3Q4;D2;Narbonne_H2;2;1;1;2;3;2;18/05/2016;1;22/05/2016;1;26/05/2016;1;0;30/05/2016;;9;3;1;3;1;4;8
2;L1105_Na21_H2 _3_4_D2;3;3;Intrapop;4;Z3Q4;D2;Narbonne_H2;2;1;1;2;3;3;18/05/2016;1;20/05/2016;1;26/05/2016;1;0;30/05/2016;;9;3;1;3;1;2;8
3;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;3;1;1;1;5;1;18/05/2016;1;20/05/2016;1;26/05/2016;1;0;26/05/2016;;12;3;5;18;1;2;8
3;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;3;1;1;1;5;2;17/05/2016;1;20/05/2016;1;23/05/2016;1;1;26/05/2016;;12;3;5;18;0;3;6
3;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;3;1;1;1;5;3;18/05/2016;1;20/05/2016;1;26/05/2016;1;1;26/05/2016;;12;3;5;18;1;2;8
3;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;3;1;1;1;5;4;18/05/2016;1;20/05/2016;1;26/05/2016;1;1;26/05/2016;;12;3;5;18;1;2;8
3;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;3;1;1;1;5;5;17/05/2016;1;20/05/2016;1;22/05/2016;1;1;26/05/2016;;12;3;5;18;0;3;5
4;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;4;1;1;2;4;1;18/05/2016;1;20/05/2016;1;22/05/2016;1;0;30/05/2016;;12;3;5;18;1;2;4
4;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;4;1;1;2;4;2;18/05/2016;1;20/05/2016;1;22/05/2016;1;0;30/05/2016;;12;3;5;18;1;2;4
4;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;4;1;1;2;4;3;19/05/2016;1;22/05/2016;1;22/05/2016;1;1;30/05/2016;;12;3;5;18;2;3;3
4;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;4;1;1;2;4;4;18/05/2016;1;20/05/2016;1;27/05/2016;1;0;NA;;12;3;5;18;1;2;9
5;L1110b_Na326_H5 _3_4_D3;3;3;Intrapop;4;Z3Q4;D3;Narbonne_H5;5;1;1;1;5;1;18/05/2016;1;20/05/2016;1;26/05/2016;1;1;27/05/2016;;12;3;5;18;1;2;8
