IDBox;Plant;Zone;Plan;UniqueQuadrat;UniqueGeno;n
1;L1109_Na314_H5 _3_4_A3;3;Intrapop;Z3Q4;Narbonne_H5;5
2;L1105_Na21_H2 _3_4_D2;3;Intrapop;Z3Q4;Narbonne_H2;3
3;L1110b_Na326_H5 _3_4_D3;3;Intrapop;Z3Q4;Narbonne_H5;5
4;L1110b_Na326_H5 _3_4_D3;3;Intrapop;Z3Q4;Narbonne_H5;4
5;L1110b_Na326_H5 _3_4_D3;3;Intrapop;Z3Q4;Narbonne_H5;5
6;L1110b_Na326_H5 _3_4_D3;3;Intrapop;Z3Q4;Narbonne_H5;4
7;L1125_Na657_H8 _3_4_E1;3;Intrapop;Z3Q4;Narbonne_H8;6
8;L1107_Na234_H2 _3_4_E3;3;Intrapop;Z3Q4;Narbonne_H2;5
9;L1107_Na234_H2 _3_4_E3;3;Intrapop;Z3Q4;Narbonne_H2;6
10;L1096b_Na156_H4 _3_4_F6;3;Intrapop;Z3Q4;Narbonne_H4;3
11;269_B_H96 _3_12_A4;3;Intrapop;Z3Q12;Narbonne_H96;6
12;269_B_H96 _3_12_A4;3;Intrapop;Z3Q12;Narbonne_H96;6
13;269_B_H96 _3_12_A4;3;Intrapop;Z3Q12;Narbonne_H96;5
14;L1109_Na314_H5 _3_12_B3;3;Intrapop;Z3Q12;Narbonne_H5;4
15;L1109_Na314_H5 _3_12_B3;3;Intrapop;Z3Q12;Narbonne_H5;5
16;L1096b_Na156_H4 _3_12_C2;3;Intrapop;Z3Q12;Narbonne_H4;7
17;L1096b_Na156_H4 _3_12_C2;3;Intrapop;Z3Q12;Narbonne_H4;7
18;L1096b_Na156_H4 _3_12_C2;3;Intrapop;Z3Q12;Narbonne_H4;7
19;L1096b_Na156_H4 _3_12_C2;3;Intrapop;Z3Q12;Narbonne_H4;7
20;L1096b_Na156_H4 _3_12_C2;3;Intrapop;Z3Q12;Narbonne_H4;6
21;L1096b_Na156_H4 _3_12_C2;3;Intrapop;Z3Q12;Narbonne_H4;5
22;L1096b_Na156_H4 _3_12_C2;3;Intrapop;Z3Q12;Narbonne_H4;4
23;L1096b_Na156_H4 _3_12_C2;3;Intrapop;Z3Q12;Narbonne_H4;4
24;L1096b_Na156_H4 _3_12_C2;3;Intrapop;Z3Q12;Narbonne_H4;5
25;L1096b_Na156_H4 _3_12_C2;3;Intrapop;Z3Q12;Narbonne_H4;3
26;L1105_Na21_H2 _3_12_C3;3;Intrapop;Z3Q12;Narbonne_H2;3
27;L1105_Na21_H2 _3_12_C3;3;Intrapop;Z3Q12;Narbonne_H2;7
28;L1105_Na21_H2 _3_12_C3;3;Intrapop;Z3Q12;Narbonne_H2;7
29;L1105_Na21_H2 _3_12_C3;3;Intrapop;Z3Q12;Narbonne_H2;5
30;L1105_Na21_H2 _3_12_C3;3;Intrapop;Z3Q12;Narbonne_H2;6
31;L1105_Na21_H2 _3_12_C3;3;Intrapop;Z3Q12;Narbonne_H2;6
32;L1105_Na21_H2 _3_12_C3;3;Intrapop;Z3Q12;Narbonne_H2;6
33;L1105_Na21_H2 _3_12_C3;3;Intrapop;Z3Q12;Narbonne_H2;6
34;L1105_Na21_H2 _3_12_C3;3;Intrapop;Z3Q12;Narbonne_H2;5
35;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;6
36;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;3
37;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;7
38;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;7
39;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;6
40;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;5
41;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;5
42;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;5
43;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;4
44;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;6
45;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;7
46;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;7
47;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;3
48;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;6
49;426_A_H11.5 _3_12_C5;3;Intrapop;Z3Q12;Narbonne_H11.5;6
50;L1110b_Na326_H5 _3_12_E6;3;Intrapop;Z3Q12;Narbonne_H5;3
51;L1096b_Na156_H4 _3_12_F2;3;Intrapop;Z3Q12;Narbonne_H4;5
52;L1096b_Na156_H4 _3_12_F2;3;Intrapop;Z3Q12;Narbonne_H4;5
53;L1096b_Na156_H4 _3_12_F2;3;Intrapop;Z3Q12;Narbonne_H4;2
54;L1096b_Na156_H4 _3_12_F2;3;Intrapop;Z3Q12;Narbonne_H4;5
55;L1096b_Na156_H4 _3_12_F2;3;Intrapop;Z3Q12;Narbonne_H4;4
56;L1096b_Na156_H4 _3_12_F2;3;Intrapop;Z3Q12;Narbonne_H4;2
57;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;7
58;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;7
59;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;6
60;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;7
61;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;7
62;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;8
63;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;8
64;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;5
65;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;7
66;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;7
67;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;4
68;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;3
69;L1125_Na657_H8 _3_12_F3;3;Intrapop;Z3Q12;Narbonne_H8;2
70;L1123_Na632_H8 _8_4_A5;8;Intrapop;Z8Q4;Narbonne_H8;6
71;L1090_Na136_H1 _8_4_B1;8;Intrapop;Z8Q4;Narbonne_H1;5
72;L1090_Na136_H1 _8_4_B1;8;Intrapop;Z8Q4;Narbonne_H1;5
73;L1109_Na314_H5 _8_4_B2;8;Intrapop;Z8Q4;Narbonne_H5;7
74;L1109_Na314_H5 _8_4_B2;8;Intrapop;Z8Q4;Narbonne_H5;7
75;L1109_Na314_H5 _8_4_B2;8;Intrapop;Z8Q4;Narbonne_H5;6
76;L1109_Na314_H5 _8_4_B5;8;Intrapop;Z8Q4;Narbonne_H5;4
77;L1109_Na314_H5 _8_4_B5;8;Intrapop;Z8Q4;Narbonne_H5;5
78;L1109_Na314_H5 _8_4_B5;8;Intrapop;Z8Q4;Narbonne_H5;6
79;L1109_Na314_H5 _8_4_B5;8;Intrapop;Z8Q4;Narbonne_H5;4
80;L1110b_Na326_H5 _8_4_C3;8;Intrapop;Z8Q4;Narbonne_H5;5
81;L1110b_Na326_H5 _8_4_C3;8;Intrapop;Z8Q4;Narbonne_H5;3
82;L1107_Na234_H2 _8_4_C4;8;Intrapop;Z8Q4;Narbonne_H2;5
83;L1107_Na234_H2 _8_4_C4;8;Intrapop;Z8Q4;Narbonne_H2;5
84;L1110b_Na326_H5 _8_4_D5;8;Intrapop;Z8Q4;Narbonne_H5;7
85;L1110b_Na326_H5 _8_4_D5;8;Intrapop;Z8Q4;Narbonne_H5;7
86;L1110b_Na326_H5 _8_4_D5;8;Intrapop;Z8Q4;Narbonne_H5;5
87;L1125_Na657_H8 _8_4_E1;8;Intrapop;Z8Q4;Narbonne_H8;4
88;L1113_Na424 _8_4_E4;8;Intrapop;Z8Q4;Narbonne_H6;4
89;L1113_Na424 _8_4_E4;8;Intrapop;Z8Q4;Narbonne_H6;6
90;L1109_Na314_H5 _8_7_A3;8;Intrapop;Z8Q7;Narbonne_H5;3
91;L1086_Na121_H4 _8_7_B3;8;Intrapop;Z8Q7;Narbonne_H4;3
92;426_A_H11.5 _8_7_B4;8;Intrapop;Z8Q7;Narbonne_H11.5;5
93;L1113_Na424 _8_7_C1;8;Intrapop;Z8Q7;Narbonne_H6;1
94;L1107_Na234_H2 _8_7_C6;8;Intrapop;Z8Q7;Narbonne_H2;5
95;L1107_Na234_H2 _8_7_C6;8;Intrapop;Z8Q7;Narbonne_H2;2
96;L1123_Na632_H8 _8_7_D2;8;Intrapop;Z8Q7;Narbonne_H8;3
97;269_B_H96 _8_7_D3;8;Intrapop;Z8Q7;Narbonne_H96;2
98;L1105_Na21_H2 _8_7_E1;8;Intrapop;Z8Q7;Narbonne_H2;6
99;L1130_Na1028_H1 _8_7_E4;8;Intrapop;Z8Q7;Narbonne_H1;3
100;L1119_Na545_H50 _8_7_F3;8;Intrapop;Z8Q7;Narbonne_H50;5
101;L1090_Na136_H1 _8_7_F6;8;Intrapop;Z8Q7;Narbonne_H1;6
102;L1119_Na545_H50 _12_7_A2;12;Intrapop;Z12Q7;Narbonne_H50;3
103;L1105_Na21_H2 _12_7_C3;12;Intrapop;Z12Q7;Narbonne_H2;3
104;L1105_Na21_H2 _12_7_D2;12;Intrapop;Z12Q7;Narbonne_H2;7
105;L1105_Na21_H2 _12_7_D2;12;Intrapop;Z12Q7;Narbonne_H2;7
106;L1110b_Na326_H5 _12_7_D6;12;Intrapop;Z12Q7;Narbonne_H5;1
107;L1130_Na1028_H1 _12_7_E2;12;Intrapop;Z12Q7;Narbonne_H1;2
108;L1130_Na1028_H1 _12_7_E2;12;Intrapop;Z12Q7;Narbonne_H1;2
109;426_A_H11.5 _12_7_F2;12;Intrapop;Z12Q7;Narbonne_H11.5;1
110;L1107_Na234_H2 _12_7_F4;12;Intrapop;Z12Q7;Narbonne_H2;5
111;L1090_Na136_H1 _12_10_A1;12;Intrapop;Z12Q10;Narbonne_H1;7
112;L1090_Na136_H1 _12_10_A1;12;Intrapop;Z12Q10;Narbonne_H1;7
113;L1090_Na136_H1 _12_10_A1;12;Intrapop;Z12Q10;Narbonne_H1;3
114;L1110b_Na326_H5 _12_10_A3;12;Intrapop;Z12Q10;Narbonne_H5;3
115;L1109_Na314_H5 _12_10_B2;12;Intrapop;Z12Q10;Narbonne_H5;2
116;L1109_Na314_H5 _12_10_B3;12;Intrapop;Z12Q10;Narbonne_H5;4
117;L1130_Na1028_H1 _12_10_C1;12;Intrapop;Z12Q10;Narbonne_H1;4
118;L1130_Na1028_H1 _12_10_C1;12;Intrapop;Z12Q10;Narbonne_H1;4
119;426_A_H11.5 _12_10_C2;12;Intrapop;Z12Q10;Narbonne_H11.5;6
120;L1130_Na1028_H1 _12_10_C5;12;Intrapop;Z12Q10;Narbonne_H1;5
